ID;Price Guide Sequence;Product Line;Product Name;Price (Non UPH Products);Price Grade 02;Price Grade 03;Price Grade 04;Price Grade 05;Price Grade 06;Price Grade 07;Price Grade 08;Price Grade 09;Price Grade 10;Price Grade 11;Price Grade 12;Price Grade 13;Price Optional Armpad or Armcap - Polyurethane;Price Optional Armcap - Polyurethane;Price Optional ArmPAD - Polyurethane;Price Optional Armpad or Armcap - Solid Surface;Price Optional Armcap - Solid Surface;Price Optional ArmPAD - Solid Surface;Price Optional Casters;Price Optional Swivel Tablet;Price Optional Chrome Finish;Price Optional Ganging Brackets;Price Optional Power Unit;Price Optional Bevel Edge;Price Optional Shelf;Country of Origin
AW2101;8;Amherst Wood;2 Seat Sofa;;1.74;1.928;1.964;2.008;2.074;2.17;2.3;2.486;2.734;3.032;3.42;3.924;68;;68;166;;166;;;;47;;;;US
AW2103;9;Amherst Wood;2 Seats with Center Arm;;1.74;1.928;1.964;2.008;2.074;2.17;2.3;2.486;2.734;3.032;3.42;3.924;102;;102;249;;249;;;;47;;;;US
AW3101;10;Amherst Wood;3 Seat Sofa;;2.586;2.868;2.922;2.988;3.087;3.231;3.426;3.705;4.077;4.524;5.106;5.862;68;;68;166;;166;;;;47;;;;US
AW3103;11;Amherst Wood;3 Seats with Center Arms;;2.586;2.868;2.922;2.988;3.087;3.231;3.426;3.705;4.077;4.524;5.106;5.862;136;;136;332;;332;;;;47;;;;US
AW4101;12;Amherst Wood;4 Seat Sofa;;3.43;3.806;3.878;3.966;4.098;4.29;4.55;4.922;5.418;6.014;6.79;7.798;68;;68;166;;166;;;;47;;;;US
AW4103;13;Amherst Wood;4 Seats with Center Arms;;3.43;3.806;3.878;3.966;4.098;4.29;4.55;4.922;5.418;6.014;6.79;7.798;170;;170;415;;415;;;;47;;;;US
AW5101;14;Amherst Wood;5 Seat Sofa;;4.275;4.745;4.835;4.945;5.11;5.35;5.675;6.14;6.76;7.505;8.475;9.735;68;;68;166;;166;;;;47;;;;US
AW5103;15;Amherst Wood;5 Seats with Center Arms;;4.275;4.745;4.835;4.945;5.11;5.35;5.675;6.14;6.76;7.505;8.475;9.735;204;;204;498;;498;;;;47;;;;US
AW2001;18;Amherst Wood;2 Seat Bench;;1.093;1.198;1.219;1.245;1.281;1.335;1.409;1.514;1.653;1.822;2.04;2.324;68;;68;166;;166;;;;;;;;US
AW3001;19;Amherst Wood;3 Seat Bench;;1.528;1.686;1.716;1.755;1.81;1.891;2.002;2.159;2.368;2.621;2.948;3.374;68;;68;166;;166;;;;;;;;US
AW0620;20;Amherst Wood;End Table;539;;;;;;;;;;;;;;;;;;;;;;;222;;;CN
AW0624;21;Amherst Wood;Corner Table;644;;;;;;;;;;;;;;;;;;;;;;;222;;;CN
AW0840;22;Amherst Wood;Coffee Table;718;;;;;;;;;;;;;;;;;;;;;;;222;;;US
AF1101;1;Ashford;Guest Chair;;838;932;950;972;1.005;1.053;1.118;1.211;1.335;1.484;1.678;1.93;;;;;;;;;;;;;;US
AF1102;2;Ashford;Armless Guest Chair;;838;932;950;972;1.005;1.053;1.118;1.211;1.335;1.484;1.678;1.93;;;;;;;;;;;;;;US
AF2101;3;Ashford;2 Seat Sofa;;1.62;1.808;1.844;1.888;1.954;2.05;2.18;2.366;2.614;2.912;3.3;3.804;;;;;;;;;;;;;;US
AF2103;4;Ashford;2 Seats with Center Arm;;1.62;1.808;1.844;1.888;1.954;2.05;2.18;2.366;2.614;2.912;3.3;3.804;;;;;;;;;;;;;;US
AF3101;5;Ashford;3 Seat Sofa;;2.403;2.685;2.739;2.805;2.904;3.048;3.243;3.522;3.894;4.341;4.923;5.679;;;;;;;;;;;;;;US
AF3103;6;Ashford;3 Seats with Center Arms;;2.403;2.685;2.739;2.805;2.904;3.048;3.243;3.522;3.894;4.341;4.923;5.679;;;;;;;;;;;;;;US
AF4101;7;Ashford;4 Seat Sofa;;3.185;3.561;3.633;3.721;3.853;4.045;4.305;4.677;5.173;5.769;6.545;7.553;;;;;;;;;;;;;;US
AF4103;8;Ashford;4 Seats with Center Arms;;3.185;3.561;3.633;3.721;3.853;4.045;4.305;4.677;5.173;5.769;6.545;7.553;;;;;;;;;;;;;;US
AF5101;9;Ashford;5 Seat Sofa;;3.968;4.438;4.528;4.638;4.803;5.043;5.368;5.833;6.453;7.198;8.168;9.428;;;;;;;;;;;;;;US
AF5103;10;Ashford;5 Seats with Center Arms;;3.968;4.438;4.528;4.638;4.803;5.043;5.368;5.833;6.453;7.198;8.168;9.428;;;;;;;;;;;;;;US
AF0620;13;Ashford;End Table;543;;;;;;;;;;;;;;;;;;;;;;;222;;;CN
AF0840;14;Ashford;Coffee Table;723;;;;;;;;;;;;;;;;;;;;;;;222;;;US
AF0624;15;Ashford;Corner Table;652;;;;;;;;;;;;;;;;;;;;;;;222;;;CN
AV1131;1;Avon;Guest Chair - UPH Seat & UPH Back;;715;809;827;849;882;930;995;1.088;1.212;1.361;1.555;1.807;68;68;;337;337;;73;;;47;;;;US
AV1141;2;Avon;Guest Chair - UPH Seat & LAM Back;;739;809;823;840;865;901;950;1.02;1.113;1.225;1.371;1.56;68;68;;337;337;;73;;;47;;;;US
AV1151;3;Avon;Guest Chair - LAM Seat & LAM Back;762;;;;;;;;;;;;;68;68;;337;337;;73;;;47;;;;US
AV1132;4;Avon;Armless Chair - UPH Seat & UPH Back;;655;749;767;789;822;870;935;1.028;1.152;1.301;1.495;1.747;;;;;;;73;;;47;;;;US
AV1142;5;Avon;Armless Chair - UPH Seat & LAM Back;;695;765;779;796;821;857;906;976;1.069;1.181;1.327;1.516;;;;;;;73;;;47;;;;US
AV1152;6;Avon;Armless Chair - LAM Seat & LAM Back;733;;;;;;;;;;;;;;;;;;;73;;;47;;;;US
AV1231;7;Avon;Oversize Guest Chair - UPH Seat & UPH Back;;840;945;966;992;1.028;1.082;1.156;1.261;1.4;1.569;1.787;2.071;68;68;;337;337;;;;;47;;;;US
AV1241;8;Avon;Oversize Guest Chair - UPH Seat & LAM Back;;861;949;966;987;1.018;1.063;1.125;1.212;1.328;1.468;1.65;1.887;68;68;;337;337;;;;;47;;;;US
AV1251;9;Avon;Oversize Guest Chair - LAM Seat & LAM Back;883;;;;;;;;;;;;;68;68;;337;337;;;;;47;;;;US
AV1401;10;Avon;Bariatric Chair - UPH Seat & UPH Back;;1500;1.323;1.357;1.4;1.462;1600;1.675;1.849;2.082;2.362;2.726;3.2;70;70;;337;337;;;;;47;;;;US
AV1501;11;Avon;Loveseat - UPH Seat & UPH Back;;1.301;1.476;1.51;1.553;1.615;1.704;1.828;2.002;2.235;2.515;2.879;3.353;68;68;;337;337;;;;;47;;;;US
AV1161;12;Avon;Hip Chair - UPH Seat & UPH Back;;914;1.008;1.026;1.048;1.081;1.129;1.194;1.287;1.411;1.56;1.754;2.006;68;68;;337;337;;;;;47;;;;US
AV1194;13;Avon;Bar Height Stool - UPH Seat & UPH Back;;840;928;945;966;997;1.042;1.104;1.191;1.307;1.447;1.629;1.866;;;;;;;;;;;;;;US
AV1195;14;Avon;Bar Height Stool - UPH Seat & LAM Back;;863;933;947;964;989;1.025;1.074;1.144;1.237;1.349;1.495;1.684;;;;;;;;;;;;;;US
AV1196;15;Avon;Bar Height Stool - LAM Seat & LAM Back;844;;;;;;;;;;;;;;;;;;;;;;;;;;US
AV1184;16;Avon;Counter Height Stool - UPH Seat & UPH Back;;840;928;945;966;997;1.042;1.104;1.191;1.307;1.447;1.629;1.866;;;;;;;;;;;;;;US
AV1185;17;Avon;Counter Height Stool - UPH Seat & LAM Back;;863;933;947;964;989;1.025;1.074;1.144;1.237;1.349;1.495;1.684;;;;;;;;;;;;;;US
AV1186;18;Avon;Counter Height Stool - LAM Seat & LAM Back;884;;;;;;;;;;;;;;;;;;;;;;;;;;US
AV2231;19;Avon;2 Chairs with Center Table - UPH Seat & UPH Back;;1.793;1.981;2.017;2.061;2.127;2.223;2.353;2.539;2.787;3.085;3.473;3.977;136;136;;674;674;;;;;47;222;;;US
AV2241;20;Avon;2 Chairs with Center Table - UPH Seat & LAM Back;;1.838;1.978;2.005;2.04;2.089;2.161;2.259;2.399;2.585;2.809;3.101;3.479;136;136;;674;674;;;;;47;222;;;US
AV2251;21;Avon;2 Chairs with Center Table - LAM Seat & LAM Back;1.883;;;;;;;;;;;;;136;136;;674;674;;;;;47;222;;;US
AV2331;22;Avon;2 Chairs with Corner Table - UPH Seat & UPH Back;;1.992;2.18;2.216;2.26;2.326;2.422;2.552;2.738;2.986;3.284;3.672;4.176;136;136;;674;674;;;;;47;222;;;US
AV2341;23;Avon;2 Chairs with Corner Table - UPH Seat & LAM Back;;2.038;2.178;2.205;2.24;2.289;2.361;2.459;2.599;2.785;3.009;3.301;3.679;136;136;;674;674;;;;;47;222;;;US
AV2351;24;Avon;2 Chairs with Corner Table - LAM Seat & LAM Back;2.081;;;;;;;;;;;;;136;136;;674;674;;;;;47;222;;;US
AV2001;25;Avon;2 Seat Bench;;915;1.073;1.103;1.142;1.197;1.278;1.389;1.546;1.755;2.008;2.335;2.761;;;;;;;;;;;;;;US
AV2003;26;Avon;2 Seat Bench with Center Table;;1.221;1.396;1.43;1.473;1.535;1.624;1.748;1.922;2.155;2.435;2.799;3.273;;;;;;;;;;;222;;;US
AV3001;27;Avon;3 Seat Bench;;1.258;1.468;1.509;1.561;1.634;1.742;1.89;2.099;2.378;2.715;3.152;3.72;;;;;;;;;;;;;;US
AV0620;28;Avon;End Table Square - Laminate;485;;;;;;;;;;;;;;;;;;;;;;;222;;;CN
AV0621;29;Avon;End Table Square - Solid Surface;915;;;;;;;;;;;;;;;;;;;;;;;222;;;US
AV0524;30;Avon;End Table Round - Laminate;503;;;;;;;;;;;;;;;;;;;;;;;222;;;US
AV0525;31;Avon;End Table Round - Solid Surface;1.064;;;;;;;;;;;;;;;;;;;;;;;222;;;US
AV0020;36;Avon;Connecting Center Table;356;;;;;;;;;;;;;;;;;;;;;;;;;;US
AV0030;38;Avon;Connecting Corner Table;557;;;;;;;;;;;;;;;;;;;;;;;;;;US
AV0090;40;Avon;Ganging Brackets - Set of 2;47;;;;;;;;;;;;;;;;;;;;;;;;;;CN
AV5130;42;Avon Café Tables;"Round Table 30"" - 30"" Tall";914;;;;;;;;;;;;;;;;;;;;;;;222;26;;US
AV5136;44;Avon Café Tables;"Round Table 36"" - 30"" Tall";1.038;;;;;;;;;;;;;;;;;;;;;;;222;30;;US
AV5142;46;Avon Café Tables;"Round Table 42"" - 30"" Tall";1.221;;;;;;;;;;;;;;;;;;;;;;;222;31;;US
AV5230;48;Avon Café Tables;"Round Table 30"" - 42"" Tall";976;;;;;;;;;;;;;;;;;;;;;;;222;26;;US
AV5236;50;Avon Café Tables;"Round Table 36"" - 42"" Tall";1.099;;;;;;;;;;;;;;;;;;;;;;;222;30;;US
AV5242;52;Avon Café Tables;"Round Table 42"" - 42"" Tall";1.282;;;;;;;;;;;;;;;;;;;;;;;222;31;;US
AV6130;54;Avon Café Tables;"Square Table 30"" - 30"" Tall";914;;;;;;;;;;;;;;;;;;;;;;;222;26;;US
AV6136;56;Avon Café Tables;"Square Table 36"" - 30"" Tall";1.038;;;;;;;;;;;;;;;;;;;;;;;222;30;;US
AV6142;58;Avon Café Tables;"Square Table 42"" - 30"" Tall";1.221;;;;;;;;;;;;;;;;;;;;;;;222;31;;US
AV6230;60;Avon Café Tables;"Square Table 30"" - 42"" Tall";976;;;;;;;;;;;;;;;;;;;;;;;222;26;;US
AV6236;62;Avon Café Tables;"Square Table 36"" - 42"" Tall";1.089;;;;;;;;;;;;;;;;;;;;;;;222;30;;US
AV6242;64;Avon Café Tables;"Square Table 42"" - 42"" Tall";1.282;;;;;;;;;;;;;;;;;;;;;;;222;31;;US
AV7172;66;Avon Café Tables;"Oval Table 36x72"" - 30"" Tall";1.961;;;;;;;;;;;;;;;;;;;;;;;222;46;;US
